"Year","Ceremony","Category","Nominee","Film","Winner"
"2021","Oscars","Best Original Score","Germaine Franco","Encanto","Nominee"
"2021","Oscars","Best Original Score","Alberto Iglesias","Parallel Mothers","Nominee"
"2021","Oscars","Best Original Score","Jonny Greenwood","The Power of the Dog","Nominee"
"2021","Oscars","Best Original Song","No Time to Die - Billie Eilish&Finneas OConnell(music & lyrics)","No Time to Die","Yes"
"2021","Oscars","Best Original Song","Down to Joy - Van Morrison(music & lyrics)","Belfast","Nominee"
"2021","Oscars","Best Original Song","Dos Oruguitas - Lin-Manuel Miranda(music & lyrics)","Encanto","Nominee"
"2021","Oscars","Best Original Song","Somehow You Do - Diane Warren(music & lyrics)","Four Good Days","Nominee"
"2021","Oscars","Best Original Song","Be Alive - Beyoncé&Dixson(music & lyrics)","King Richard","Nominee"
"2020","BAFTA","Best Sound","Jaime Baksht,Nicolas Becker,Phillip Bladh,Carlos CortésandMichelle Couttolenc","Sound of Metal","Yes"
"2020","BAFTA","Best Sound","Beau Borders,Christian P. Minkler,Michael Minkler,Warren ShawandDavid Wyman","Greyhound","Nominee"
"2020","BAFTA","Best Sound","Michael Fentum,William Miller,John Pritchett,Mike Prestwood SmithandOliver Tarney","News of the World","Nominee"
"2020","BAFTA","Best Sound","Sergio Díaz, Zach Seivers and M. Wolf Snyder","Nomadland","Nominee"
"2020","BAFTA","Best Sound","Coya Elliott,Ren KlyceandDavid Parker","Soul","Nominee"
"2020","Critics Choice","Best Score","Jon Batiste,Trent Reznor, andAtticus Ross","Soul","Yes"
"2020","Critics Choice","Best Score","Alexandre Desplat","The Midnight Sky","Nominee"
"2020","Critics Choice","Best Score","Ludwig Göransson","Tenet","Nominee"
"2020","Critics Choice","Best Score","James Newton Howard","News of the World","Nominee"
"2020","Critics Choice","Best Score","Emile Mosseri","Minari","Nominee"
"2020","Critics Choice","Best Score","Trent ReznorandAtticus Ross","Mank","Nominee"
"2020","Critics Choice","Best Song","Speak Now - Written bySam Ashworth&Leslie Odom Jr.; Performed by Odom Jr.","One Night in Miami...","Yes"
"2020","Critics Choice","Best Song","Everybody Cries - Written byLarry Groupé,Rod Lurie&Rita Wilson; Performed by Wilson","The Outpost","Nominee"
"2020","Critics Choice","Best Song","Fight for You - Written byDMile,H.E.R.&Tiara Thomas; Performed by H.E.R.","Judas and the Black Messiah","Nominee"
"2020","Critics Choice","Best Song","Húsavík - Written by Fat Gus Max,Rickard Göransson&Savan Kotecha; Performed byWill Ferrell&My Marianne","Eurovision Song Contest: The Story of Fire Saga","Nominee"
"2020","Critics Choice","Best Song","lo sì - Written by Niccolò Agliardi,Laura Pausini&Diane Warren; Performed by Pausini","The Life Ahead","Nominee"
"2020","Critics Choice","Best Song","Tigress & Tweed - Written byRaphael Saadiq&Andra Day; Performed by Day","The United States vs. Billie Holiday","Nominee"
"2020","Golden Globes","Best Original Score","Jon Batiste,Trent Reznor&Atticus Ross","Soul","Yes"
"2020","Golden Globes","Best Original Score","Reznor & Ross","Mank","Nominee"
"2020","Golden Globes","Best Original Score","Alexandre Desplat","The Midnight Sky","Nominee"
"2020","Golden Globes","Best Original Score","James Newton Howard","News of the World","Nominee"
"2020","Golden Globes","Best Original Score","Ludwig Göransson","Tenet","Nominee"
"2020","Golden Globes","Best Original Song","Io sì (Seen) - Laura Pausini, Niccolò Agliardi, Pausini &Diane Warren","The Life Ahead","Yes"
"2020","Golden Globes","Best Original Song","Fight for You - H.E.R.,Dernst Emile II. &Tiara Thomas","Judas and the Black Messiah","Nominee"
"2020","Golden Globes","Best Original Song","Speak Now - Leslie Odom Jr.andSam Ashworth","One Night in Miami...","Nominee"
"2020","Golden Globes","Best Original Song","Hear My Voice - CelesteandDaniel Pemberton","The Trial of the Chicago 7","Nominee"
"2020","Golden Globes","Best Original Song","Tigress & Tweed - Andra Day,Charles Wiggins&Cassandra Batie","The United States vs. Billie Holiday","Nominee"
"2020","Oscars","Best Original Song","Fight for You - DMile&H.E.R.(music); H.E.R. &Tiara Thomas(lyrics)","Judas and the Black Messiah","Yes"
"2020","Oscars","Best Original Song","Husavik - Rickard Göransson, Fat Max Gsus &Savan Kotecha(music & lyrics)","Eurovision Song Contest: The Story of Fire Saga","Nominee"
"2020","Oscars","Best Original Song","Io sì (Seen) - Diane Warren(music);Laura Pausini& Warren(lyrics)","The Life Ahead","Nominee"
"2020","Oscars","Best Original Song","Speak Now - Sam Ashworth&Leslie Odom Jr.(music & lyrics)","One Night in Miami...","Nominee"
"2020","Oscars","Best Original Song","Hear My Voice - Daniel Pemberton(music);Celeste& Pemberton(lyrics)","The Trial of the Chicago 7","Nominee"
"2019","BAFTA","Best Sound","Scott Millan,Oliver Tarney,Rachael Tate,Mark TaylorandStuart Wilson","1917","Yes"
"2019","BAFTA","Best Sound","David Giammarco,Paul Massey,Steven A. MorrowandDonald Sylvester","Ford v Ferrari","Nominee"
"2019","BAFTA","Best Sound","Tod A. Maitland,Alan Robert Murray,Tom OzanichandDean A. Zupancic","Joker","Nominee"
"2019","BAFTA","Best Sound","Matthew Collinge, John Hayes, Danny Sheehan andMike Prestwood Smith","Rocketman","Nominee"
"2019","BAFTA","Best Sound","David Acord,Andy Nelson,Christopher Scarabosio,Stuart WilsonandMatthew Wood","Star Wars: The Rise of Skywalker","Nominee"
"2019","Critics Choice","Best Score","Hildur Guðnadóttir","Joker","Yes"
"2019","Critics Choice","Best Score","Michael Abels","Us","Nominee"
"2019","Critics Choice","Best Score","Alexandre Desplat","Little Women","Nominee"
"2019","Critics Choice","Best Score","Randy Newman","Marriage Story","Nominee"
"2019","Critics Choice","Best Score","Thomas Newman","1917","Nominee"
